"m","glm_mean","glm_sd","nb_mean","nb_sd","dab_mean","dab_sd"
50,0.274032033426184,0.025223333396368,0.282980501392758,0.0218560420966164,0.315598885793872,0.0377313871473191
58,0.268366197183099,0.0253430044742215,0.279943661971831,0.019395782933059,0.308683098591549,0.0374055551278627
66,0.262984330484331,0.0227394728686554,0.278361823361823,0.0196386113953774,0.29730056980057,0.0338444384321094
74,0.258746397694525,0.0186325868369101,0.27314121037464,0.0176692692838452,0.285021613832853,0.0298365122766971
82,0.258520408163265,0.0198067930619305,0.269475218658892,0.0162956044382125,0.280189504373178,0.0278965877684923
90,0.253974926253687,0.0186861877305385,0.265966076696165,0.0166382960863129,0.274727138643068,0.0240723444635096
98,0.252597014925373,0.0172002497146003,0.267611940298507,0.0166430766214319,0.273164179104478,0.0230490488871167
106,0.251057401812689,0.0172072080903133,0.264274924471299,0.0163093278895725,0.268731117824773,0.0219253648256003
114,0.248585626911315,0.0163512901653704,0.26302752293578,0.0156617154071632,0.264457186544343,0.0240533183064709
122,0.246547987616099,0.0175414488081121,0.261547987616099,0.0157420124867517,0.258660990712074,0.0207925374669128
130,0.246442006269592,0.0141190135123306,0.261880877742947,0.0157630148781878,0.25923197492163,0.0191462649184315
138,0.243865079365079,0.0145210098898231,0.25897619047619,0.0144396249367401,0.255,0.0185210442030805
146,0.242435691318328,0.0121388508487879,0.260361736334405,0.014586304052188,0.252049839228296,0.0179545333896104
154,0.243965798045603,0.0141488044304538,0.259364820846906,0.0141699408234482,0.252532573289902,0.019156981792589
162,0.241056105610561,0.0122902352637339,0.25776402640264,0.0138570196607389,0.251056105610561,0.0182004032586915
170,0.238979933110368,0.0125242197559047,0.255585284280936,0.0136744667019139,0.249498327759197,0.0173387695148943
178,0.239093220338983,0.0120785396016939,0.254483050847458,0.0153334282436409,0.246703389830508,0.0151975377366991
186,0.240970790378007,0.0145423305427896,0.25286941580756,0.0152432347224159,0.245472508591065,0.0166093529522554
194,0.236959930313589,0.0130295009804185,0.253658536585366,0.0135769701868813,0.242081881533101,0.0159922624064962
202,0.238339222614841,0.0138721544100302,0.253233215547703,0.0145575483486727,0.243710247349823,0.0153796812046833
210,0.235394265232975,0.0121477402628953,0.25252688172043,0.0145172352337481,0.240161290322581,0.015028301082794
218,0.237045454545455,0.0113471328308539,0.252218181818182,0.0140814053038467,0.2415,0.0149369843472923
226,0.235950184501845,0.0127721902826112,0.251568265682657,0.0127501696905127,0.238579335793358,0.014631396683789
234,0.236910112359551,0.0126551088814277,0.251985018726592,0.014817627666054,0.240177902621723,0.0137432352253025
