"m","glm_mean","glm_sd","nb_mean","nb_sd","dab_mean","dab_sd"
24,0.225248962655602,0.0710562013409055,0.227126556016598,0.0366114334875499,0.264367219917012,0.0840072771325346
30,0.176039915966387,0.0679273586990093,0.220651260504202,0.0337457477685893,0.218876050420168,0.0781566516180709
36,0.148723404255319,0.0536079070522228,0.212468085106383,0.0298917078539409,0.186085106382979,0.0646569027226775
42,0.129321120689655,0.0520809732085956,0.209278017241379,0.025232027604632,0.157230603448276,0.0604230227939566
48,0.106626637554585,0.0440563253647942,0.206539301310044,0.0274389635864995,0.130371179039301,0.0499471704685979
54,0.105265486725664,0.0457096961276735,0.205011061946903,0.0222660500496705,0.12521017699115,0.0494884745828336
60,0.0857062780269058,0.0374249711635217,0.204506726457399,0.0234896557514206,0.108408071748879,0.0460376464061767
66,0.0772045454545455,0.036087713731323,0.20225,0.021678628519979,0.0922272727272727,0.0361979149751547
72,0.0677534562211982,0.030837427236108,0.2013133640553,0.0215162340828403,0.0836635944700461,0.0371944490748578
78,0.0657009345794392,0.0304622659085335,0.19696261682243,0.0219965394500814,0.078142523364486,0.0360394153973285
84,0.0574881516587678,0.0253170098362827,0.198590047393365,0.0177642895394169,0.0691824644549763,0.0304168661901427
90,0.0563701923076923,0.0230427098486996,0.196598557692308,0.0187054964735664,0.0639423076923077,0.0311536791264307
96,0.0525121951219512,0.0272399568969836,0.198658536585366,0.0204147636655162,0.0605487804878049,0.0290997285729585
102,0.0476856435643564,0.0206490748595146,0.197413366336634,0.0171696473262779,0.0546782178217822,0.0249805281216164
108,0.0462688442211055,0.0221062444581412,0.194095477386935,0.0191147886388168,0.052713567839196,0.0230596266493589
114,0.0418622448979592,0.0209180703146316,0.194043367346939,0.019738721418999,0.0483418367346939,0.0240258191287066
120,0.0409455958549223,0.018841061132135,0.194430051813472,0.0197056080260119,0.0466968911917098,0.0235763347833866
126,0.0399342105263158,0.0171997320133331,0.193263157894737,0.0183645561266194,0.0451973684210526,0.0190487704694643
132,0.0366310160427807,0.0184195853240659,0.192112299465241,0.0179308652057994,0.041831550802139,0.0230615445474586
138,0.0392119565217391,0.0211604870390482,0.192907608695652,0.0198512332611498,0.041929347826087,0.019600139826903
144,0.0331767955801105,0.0168453548635156,0.192196132596685,0.0200476587863143,0.0389917127071823,0.0225480875752318
150,0.0342275280898876,0.018534743078611,0.189311797752809,0.0206837871778989,0.037064606741573,0.0195074341036224
156,0.0295857142857143,0.0148361923631201,0.190242857142857,0.0193574931823145,0.0341285714285714,0.0171696309228853
162,0.0303779069767442,0.014326690558589,0.191540697674419,0.0178742278955411,0.0317587209302326,0.0151568388956413
168,0.0287130177514793,0.0147341985989229,0.189082840236686,0.019347784331675,0.0298224852071006,0.0155520471514044
174,0.0286596385542169,0.0133955466248938,0.189548192771084,0.0192557881055056,0.0287801204819277,0.015452296851961
180,0.0281748466257669,0.014089159843479,0.188588957055215,0.0225307420291732,0.0299693251533742,0.0143999657182046
186,0.0265,0.0130904816488544,0.186765625,0.0183798725186926,0.027359375,0.014675943344454
192,0.0271974522292994,0.0147413112109889,0.186273885350318,0.0168639821903177,0.0274203821656051,0.0156696133863932
198,0.0242694805194805,0.0121042816265094,0.185698051948052,0.0193624122584064,0.0275974025974026,0.0159788773937853
204,0.0232781456953642,0.0110990277491469,0.183807947019868,0.0181364781472244,0.0275827814569536,0.0152089459140374
210,0.0244256756756757,0.0135037908117404,0.185236486486486,0.0189243446460135,0.0253885135135135,0.0123653996681207
216,0.0236896551724138,0.0124079675967039,0.184741379310345,0.019910943340505,0.0258448275862069,0.014286770786353
222,0.0244542253521127,0.0138444647597167,0.187570422535211,0.0214216973947495,0.0258802816901408,0.0174322626510558
228,0.0214568345323741,0.0109164359850522,0.183291366906475,0.0191238044467334,0.0248920863309353,0.0141669800989535
234,0.0213235294117647,0.0123841592076385,0.185974264705882,0.0221395872842306,0.0218014705882353,0.0121935291972229
240,0.0211654135338346,0.0111503312142845,0.183684210526316,0.0206635150380752,0.0230639097744361,0.0162527045765478
246,0.0216923076923077,0.0118344964454083,0.182884615384615,0.0189905757477917,0.0227692307692308,0.0128830070709548
252,0.0200984251968504,0.0103254491020704,0.183641732283465,0.022354501237516,0.0209448818897638,0.0112313743538126
258,0.0209274193548387,0.0117046875134379,0.183487903225806,0.0225468881215923,0.0220766129032258,0.012628384071027
264,0.0216942148760331,0.0132482293448037,0.182479338842975,0.0200411135927835,0.022603305785124,0.019953021113777
270,0.0205932203389831,0.0105861061197531,0.182436440677966,0.0203510343700652,0.0202542372881356,0.0120835254055927
276,0.0190217391304348,0.00942372054525631,0.1785,0.0218337355932341,0.0197608695652174,0.0104953951129896
282,0.02109375,0.0142087948201006,0.179151785714286,0.0211644235498517,0.0216071428571429,0.0136075458315822
288,0.0209403669724771,0.011251026822704,0.180091743119266,0.0226001911481729,0.021651376146789,0.0184644355828474
294,0.0186556603773585,0.0102768595699273,0.17877358490566,0.0243889676148059,0.0201179245283019,0.0111951957089561
300,0.0195388349514563,0.00959139583081904,0.18128640776699,0.023689643804123,0.0213106796116505,0.0147993554695304
306,0.01995,0.0102357880392239,0.1813,0.0247968631506195,0.020075,0.0122728353462917
312,0.0187628865979381,0.00969577962466449,0.178865979381443,0.0245554952965369,0.0197164948453608,0.0117434476127544
318,0.0193882978723404,0.00943260518851098,0.173085106382979,0.025705953749162,0.020718085106383,0.0144902446871521
324,0.0187912087912088,0.0105287683580919,0.177692307692308,0.0240696668781975,0.0189010989010989,0.0112972400250405
330,0.0178977272727273,0.00999251531642232,0.179090909090909,0.028084370787918,0.0212784090909091,0.0182541025073139
336,0.0181470588235294,0.0106438827382417,0.180205882352941,0.0257939094316261,0.0218823529411765,0.0183585035947938
342,0.0184451219512195,0.011653583163818,0.178231707317073,0.0267413097597565,0.0202439024390244,0.0152179580666025
348,0.0178481012658228,0.0107070754933381,0.176772151898734,0.0266452829241054,0.0192088607594937,0.0101792706507862
354,0.0177960526315789,0.0116834098354168,0.180723684210526,0.0287482482185818,0.0176315789473684,0.010381508595036
360,0.0178424657534247,0.0120877269235898,0.176952054794521,0.0292191883932679,0.0170890410958904,0.0135775869956141
366,0.0180714285714286,0.0136976972539368,0.176964285714286,0.0266727096996879,0.0182857142857143,0.0112686222767288
372,0.017089552238806,0.0136028064136217,0.177910447761194,0.0310946123651929,0.0184328358208955,0.0108134250845891
378,0.017578125,0.0117937559834797,0.1819140625,0.0317985142776541,0.0191015625,0.0130751002221374
384,0.0175,0.0122069637982257,0.176229508196721,0.0318360351163924,0.0188524590163934,0.0125700370469029
390,0.0170689655172414,0.0125227223732224,0.178663793103448,0.0318354059934441,0.0193965517241379,0.0141942090473624
396,0.0176363636363636,0.0128771440830593,0.174272727272727,0.0343202730356768,0.0184090909090909,0.0154782421181767
402,0.0161538461538462,0.0126332804139708,0.171105769230769,0.0329482114151191,0.0194711538461538,0.0162858576640138
408,0.0172959183673469,0.0121124645394804,0.172704081632653,0.0377382254325498,0.0202040816326531,0.0162055821520216
414,0.0163586956521739,0.0126608684172774,0.178967391304348,0.0378871362250526,0.0194021739130435,0.0168770053969393
420,0.0161627906976744,0.0135838820701019,0.172151162790698,0.0367281008663766,0.0184883720930233,0.0173760982223053
426,0.0153125,0.0142570125124058,0.1789375,0.0428561323986528,0.01875,0.0151417091764411
432,0.0141216216216216,0.0142922118324728,0.172432432432432,0.0405572875002862,0.0197972972972973,0.022945894035746
438,0.0141176470588235,0.0145079796356864,0.169705882352941,0.0482663577040453,0.0184558823529412,0.0145944268873234
