"m","glm_mean","glm_sd","nb_mean","nb_sd","dab_mean","dab_sd"
20,0.235815102328864,0.0614212104803778,0.189509527170078,0.0272453442739701,0.25871030345801,0.0757001100830065
60,0.158892269148175,0.0235522697003924,0.183906585540444,0.00597797924626991,0.174754831782391,0.0326403133252492
100,0.140194262890341,0.0114406146172508,0.183480392156863,0.00411280664886857,0.15106572258533,0.0189750282740704
140,0.135141857037583,0.00886095010064118,0.183450626381724,0.00338045863715048,0.143725128960943,0.0176975446787671
180,0.132743081525804,0.00675476110755264,0.183519072550486,0.00312655857442034,0.139302543006731,0.0141789860998816
220,0.130774487471526,0.00579040795393408,0.183728170083523,0.0030249329462115,0.137315869400152,0.0125467227133096
260,0.129207787201234,0.0057567237450129,0.183895528141866,0.0028717363678286,0.135703546646106,0.0119156077792161
300,0.128322239624119,0.0048924891348428,0.183929130775254,0.00281648744608177,0.135812451057165,0.00998015559898038
340,0.128003182179793,0.00436849561537972,0.183836515513126,0.00307047639027973,0.133752983293556,0.00966317619678187
380,0.127063459983832,0.00433846370784936,0.183607518189167,0.00312477955663494,0.133700485044462,0.0101693126789691
420,0.126854971240756,0.00436900270163626,0.183845521774856,0.00352677642633155,0.133486031224322,0.0096857397934464
460,0.126169590643275,0.00406902691009346,0.183786549707602,0.00340033399859097,0.134665831244779,0.00877465716598648
500,0.12607264231096,0.00417736075779736,0.183120220900595,0.00357127937255302,0.132812234494477,0.0080677200633653
540,0.125965859982714,0.00391737320879366,0.183452895419188,0.00345123710289983,0.132586430423509,0.00833028385966078
580,0.125844327176781,0.00411325023270265,0.18353781882146,0.00414128497764151,0.132603342128408,0.00781223947293525
620,0.125644583706356,0.00405626840311366,0.183961504028648,0.00390410924339657,0.132029991047449,0.00847251808478124
660,0.124840474020055,0.00387719893350047,0.183701002734731,0.00433022353384638,0.13278258887876,0.00817116257702327
700,0.125872794800371,0.00444255867296014,0.183644382544104,0.00426067085077105,0.132722841225627,0.00835306885175091
740,0.125361873226112,0.00432024973869259,0.183457899716178,0.00431702961980697,0.131792809839167,0.00719568070952163
780,0.125354387656702,0.00454611427832803,0.183666827386692,0.00456520845852274,0.133027965284474,0.00798409634665506
820,0.12547197640118,0.00419888254294238,0.183738938053097,0.00498363932382135,0.132293510324484,0.00784923542283503
860,0.1254037111334,0.00462683951505898,0.184064694082247,0.00501465135069866,0.132141424272818,0.00730080252604889
900,0.125015353121801,0.00479209822342666,0.183805015353122,0.00513672766610402,0.132100818833163,0.00778727834341779
940,0.125376175548589,0.00503968048881782,0.183484848484848,0.00489483383572744,0.132656739811912,0.00777091766611432
980,0.125400213447172,0.00498027439376705,0.184074172892209,0.00517370005789292,0.132788153681964,0.00762967543996382
1020,0.12543893129771,0.00503583257186445,0.183715921483097,0.00578417561701499,0.132235550708833,0.00755053731565804
1060,0.125178372352285,0.00504125274675054,0.183782051282051,0.00552597285640674,0.131256967670011,0.00761543345707404
1100,0.12595496009122,0.00516553220524701,0.183631698973774,0.00601335428471495,0.132377423033067,0.00730416281931172
1140,0.12512252042007,0.00541930688209742,0.183806884480747,0.00619334036912628,0.132322053675613,0.00809693630956968
1180,0.125683990442055,0.00572944171048366,0.183996415770609,0.00641742052969467,0.132801672640382,0.00744634628060995
1220,0.125804773561811,0.0063864929748568,0.184011627906977,0.00664030241613371,0.132760097919217,0.00762841426667187
1260,0.125047051442911,0.00584053919507763,0.183757841907152,0.00644372016168792,0.131656210790464,0.00807553843308664
1300,0.125302445302445,0.00596763526049393,0.183861003861004,0.00659381211577036,0.131254826254826,0.00787989711061711
1340,0.125072655217966,0.00652891908455639,0.18414464993395,0.00701148308631601,0.131396961690885,0.00771098189495061
1380,0.125569877883311,0.0059623611797892,0.183107191316147,0.00663674398176054,0.131489145183175,0.00745542381233775
