"m","glm_mean","glm_sd","nb_mean","nb_sd","dab_mean","dab_sd"
80,0.3724609375,0.0516083856047249,0.2644140625,0.0396516307745374,0.36140625,0.056528267251258
84,0.352822580645161,0.0450919824565285,0.267177419354839,0.0400689869649429,0.34375,0.0530611021708744
88,0.356,0.0497141465856812,0.268375,0.0440586246865306,0.338375,0.0497473902191111
92,0.344568965517241,0.0454926965794909,0.262241379310345,0.0445927093881856,0.330431034482759,0.0502750725563678
96,0.344776785714286,0.0465078625693127,0.255133928571429,0.0478390778911395,0.32375,0.0466846436554416
100,0.330833333333333,0.0455666492766466,0.259305555555556,0.044191864605985,0.318981481481481,0.0524912551953173
104,0.326201923076923,0.0466590048759868,0.255576923076923,0.0454118293857878,0.309278846153846,0.0520959974394725
108,0.3263,0.0514445596109816,0.2505,0.0430466616054821,0.30605,0.0565320872109116
112,0.325416666666667,0.0458918273002248,0.254427083333333,0.0432140123232756,0.294739583333333,0.0513378123368868
116,0.319347826086956,0.0577590162680681,0.255217391304348,0.0488897937120957,0.291195652173913,0.0522433946711413
120,0.311818181818182,0.0497047848612978,0.253636363636364,0.0496802350309516,0.286193181818182,0.0527996155770406
124,0.30125,0.0491527004481818,0.258511904761905,0.0493721548583909,0.278869047619048,0.0551121468776461
128,0.309125,0.052328176590883,0.25475,0.048055140020731,0.274625,0.0528834109220819
132,0.301447368421053,0.0538439768876214,0.249078947368421,0.0445476107398408,0.268355263157895,0.0519811954103601
136,0.295208333333333,0.051536610308204,0.249166666666667,0.0513225423189825,0.269236111111111,0.0525550248721057
140,0.293823529411765,0.0560993499911558,0.244926470588235,0.0524685255702335,0.265294117647059,0.0612995022437088
144,0.292578125,0.0525378967635847,0.246640625,0.0569944262701511,0.25734375,0.0591707094470723
148,0.29225,0.0601477220229075,0.253083333333333,0.0531812503955561,0.258583333333333,0.0622260046608977
152,0.283303571428571,0.056714946512648,0.250446428571429,0.0563964822614451,0.251339285714286,0.0604157788938437
156,0.294326923076923,0.059708908896011,0.250865384615385,0.0647872132048905,0.245961538461538,0.0574045782111114
160,0.2821875,0.0624754802544666,0.243229166666667,0.0639296803571668,0.246354166666667,0.0624978189178336
164,0.28,0.066923829488792,0.249090909090909,0.067081884551778,0.247613636363636,0.0729239253969708
168,0.2825,0.0712857509707044,0.25025,0.0701304419954157,0.242875,0.0697886930914821
172,0.297916666666667,0.0749266810801629,0.258611111111111,0.0696404269717008,0.2425,0.0756360419664143
176,0.274375,0.0796974295468926,0.24796875,0.0791981879579109,0.22984375,0.0758961264392321
180,0.279285714285714,0.0824858627094259,0.243571428571429,0.0757622868605988,0.241964285714286,0.0802548802920177
184,0.275208333333333,0.0934870918065699,0.24625,0.0933276125908894,0.214375,0.081040214717458
188,0.27175,0.0939872625818956,0.243,0.0969432305514353,0.22975,0.0970801746058769
192,0.2790625,0.104258700967291,0.23375,0.112649955893529,0.2178125,0.103332031030725
196,0.28125,0.124877801800272,0.259166666666667,0.127190466828446,0.225833333333333,0.124640745610013
200,0.269375,0.145113832895033,0.23625,0.147630999658952,0.221875,0.138094022936745
204,0.2825,0.220366870897022,0.26125,0.232823908484092,0.20875,0.198577700195856
