"m","glm_mean","glm_sd","nb_mean","nb_sd","dab_mean","dab_sd"
50,0.368052930056711,0.0425972586381899,0.472977315689981,0.044368602764358,0.392835538752363,0.0378420249636273
58,0.35690019193858,0.0365973963119478,0.470911708253359,0.0440707858844556,0.380748560460653,0.0375901236146038
66,0.348567251461988,0.037042489930624,0.470029239766082,0.0451718098907747,0.38135477582846,0.0388873808579608
74,0.340405940594059,0.0333014956171597,0.46719801980198,0.042896645407914,0.376138613861386,0.0342196697604634
82,0.338229376257545,0.0330315588229413,0.465804828973843,0.0457041633078086,0.372826961770624,0.0304189672259695
90,0.330777096114519,0.0287454158590044,0.472719836400818,0.0401716273122712,0.368660531697342,0.031372176443627
98,0.324449064449064,0.0251419729173962,0.470010395010395,0.0425925559722495,0.36527027027027,0.0318430202423046
106,0.325412262156448,0.0270623731558122,0.470327695560254,0.0396646139246873,0.359122621564482,0.0304132363624403
114,0.317204301075269,0.0217450308922689,0.465870967741935,0.0421402755131238,0.357236559139785,0.0292907111281162
122,0.317603938730853,0.0240449156480521,0.469628008752735,0.0407879377725804,0.354759299781182,0.0264844225490518
130,0.312850779510022,0.0214274165180661,0.471536748329621,0.0382383667867115,0.353496659242762,0.0286064969380287
138,0.309501133786848,0.0183403100080994,0.469126984126984,0.0381726833051572,0.348537414965986,0.0276683379723194
146,0.306928406466513,0.0198533064489163,0.468533487297921,0.0380703915208621,0.347829099307159,0.0292015220105552
154,0.306388235294118,0.0205272133133384,0.470988235294118,0.0408877917515608,0.344694117647059,0.0268628899466971
162,0.308009592326139,0.0193072376279005,0.474964028776978,0.0360652078692457,0.343657074340528,0.0270898338956333
170,0.303068459657702,0.0179456667478331,0.470403422982885,0.0365389212711105,0.34,0.0249493044945902
178,0.301932668329177,0.0182106376089813,0.474177057356608,0.0395876152014213,0.338628428927681,0.0261495643866862
186,0.299262086513995,0.0173589500162508,0.474160305343511,0.0351226728420927,0.336832061068702,0.0274166208148866
194,0.299974025974026,0.0153983761852632,0.470558441558442,0.0344355842931563,0.33374025974026,0.0243602160937183
202,0.298713527851459,0.0142549639461102,0.473103448275862,0.0385434169768114,0.333779840848806,0.0246913886180565
210,0.296544715447154,0.0171557234938164,0.472669376693767,0.039462590744344,0.330650406504065,0.0246213998143692
218,0.296232686980609,0.015463469084374,0.468490304709141,0.0360906977925522,0.328324099722992,0.024331857266605
226,0.296317280453258,0.0161678871709713,0.467747875354108,0.0380483677367615,0.32971671388102,0.0248018826594797
234,0.296666666666667,0.0182645568282725,0.469768115942029,0.0343754358192509,0.328623188405797,0.0266662827341723
242,0.293872403560831,0.0175220266916483,0.473456973293769,0.0317813058524504,0.326424332344214,0.0234056838760869
250,0.295775075987842,0.0180100989142773,0.465668693009119,0.0365863790614316,0.325562310030395,0.0227656108746409
258,0.296619937694704,0.0198527772451316,0.478380062305296,0.0315765705557453,0.327492211838006,0.0244258929142744
266,0.293402555910543,0.0180297620424578,0.473450479233227,0.031885225649705,0.324376996805112,0.0235819774960624
274,0.290114754098361,0.0190129772434211,0.472885245901639,0.0343253988852803,0.321803278688525,0.0268799610637851
282,0.293131313131313,0.0186862322851109,0.476111111111111,0.0349747995213581,0.323754208754209,0.0280550624368376
290,0.291401384083045,0.0185086612479533,0.471384083044983,0.0351860957355886,0.320553633217993,0.0230858260067361
298,0.292241992882562,0.0217847563917988,0.470960854092527,0.0340209347909727,0.318523131672598,0.0239962466822847
306,0.289835164835165,0.0200056740290719,0.476465201465201,0.0309662947556954,0.318296703296703,0.0244949420202088
314,0.287679245283019,0.0196572453454655,0.474490566037736,0.0357198071244041,0.317679245283019,0.0240159231197451
322,0.293268482490272,0.0228266338901658,0.466770428015564,0.0343689016879453,0.320856031128405,0.0271067059170939
330,0.291184738955823,0.0207492758049329,0.47363453815261,0.0350253027502232,0.316506024096386,0.0243951994332451
338,0.289854771784232,0.0214033125881542,0.475933609958506,0.0310260113494592,0.317676348547718,0.0274534801520243
346,0.28950643776824,0.0233247699730155,0.476416309012876,0.029404521097642,0.315278969957082,0.0269483907587483
354,0.288688888888889,0.0240036289830331,0.474333333333333,0.0359910170703562,0.314844444444444,0.0273627374264065
362,0.287880184331797,0.0236061235925841,0.470783410138249,0.0372534846607329,0.314308755760369,0.026784417260946
370,0.291818181818182,0.0244489893329112,0.472822966507177,0.0357531171424065,0.315598086124402,0.0275709465924557
378,0.288457711442786,0.0272770691508463,0.471741293532338,0.0345902822138441,0.314776119402985,0.0287630270932895
386,0.286062176165803,0.0274298532062323,0.476554404145078,0.0387542930716029,0.311787564766839,0.0303966534907313
394,0.289189189189189,0.028990222323602,0.473,0.0346432730825163,0.312567567567568,0.0316415753711396
402,0.287231638418079,0.0299246680806668,0.478531073446328,0.036071497009867,0.310762711864407,0.0331785220784502
410,0.289467455621302,0.028777027959908,0.471360946745562,0.0386603143821382,0.30896449704142,0.0292471324538777
418,0.289906832298137,0.0285477893025625,0.478664596273292,0.0423927005741611,0.309472049689441,0.0308739480828665
426,0.288235294117647,0.030026635788457,0.471372549019608,0.0424871212376511,0.308071895424837,0.028917154303794
434,0.292172413793103,0.0297551236577389,0.475275862068965,0.0410591059128069,0.312241379310345,0.0325240808175972
442,0.289963503649635,0.0329936152764827,0.473613138686131,0.0412336610563188,0.308321167883212,0.0355505214762752
450,0.292364341085271,0.0330387178472099,0.473875968992248,0.0430264931238155,0.311395348837209,0.0363856318449983
458,0.289917355371901,0.037607515592514,0.477231404958678,0.0471820054300077,0.31103305785124,0.0392142853534909
466,0.289159292035398,0.0374188435459442,0.474778761061947,0.0470182606131018,0.307389380530973,0.0372136162549364
474,0.289380952380952,0.0390485820389136,0.476047619047619,0.0458834460940208,0.30852380952381,0.0376608096150826
482,0.28659793814433,0.0430369288273948,0.474690721649485,0.048512459836779,0.30659793814433,0.0442392652545858
490,0.289494382022472,0.0443609871468017,0.478707865168539,0.0524587535223977,0.305842696629213,0.0437153548248645
498,0.290555555555556,0.0504700307406234,0.477469135802469,0.0537343398884504,0.306604938271605,0.0501488052152697
506,0.288356164383562,0.0442183590211818,0.472534246575342,0.0590997709286089,0.304520547945205,0.0453336897033644
514,0.284076923076923,0.0514978002516931,0.469076923076923,0.055136453867585,0.302461538461539,0.050343059077457
522,0.290263157894737,0.0569857634595037,0.472982456140351,0.0698626547817363,0.308771929824561,0.0580133642886116
530,0.28969387755102,0.062079878968744,0.476530612244898,0.0684319481353532,0.306428571428571,0.0613944074962462
538,0.299878048780488,0.0635642450601712,0.478536585365854,0.0753072877333759,0.315609756097561,0.0635568375512856
546,0.290454545454545,0.0793514824108324,0.475909090909091,0.0816172967720351,0.306363636363636,0.0785632435061116
554,0.289,0.0885335583537331,0.4948,0.0960996133103144,0.3094,0.0880819627438219
562,0.28,0.107489365006842,0.484117647058824,0.111221199753658,0.299117647058824,0.108541749577281
570,0.294444444444444,0.147670456363521,0.485555555555556,0.159217485940677,0.315,0.146416338831909
578,0.265,0.44244069528494,0.45,0.498742136372058,0.3,0.459407527563393
